"","mach","narc","psyc"
"1413",35,3,6
"1414",28,10,15
"1415",43,8,29
"1416",38,9,14
"1417",27,6,14
"1418",31,14,13
"1419",37,5,11
"1420",14,-6,4
"1421",35,-2,7
"1422",34,2,3
"1423",40,14,25
"1424",26,2,8
"1425",41,19,28
"1426",37,14,7
"1427",37,16,20
"1428",21,0,3
"1429",17,-1,3
"1430",33,5,10
"1431",43,23,17
"1432",31,0,14
"1433",44,14,15
"1434",27,12,13
"1435",45,12,20
"1436",37,1,22
"1437",35,15,15
"1438",38,16,14
"1439",44,25,21
"1440",40,17,22
"1441",33,4,12
"1442",39,22,24
"1443",40,11,23
"1444",41,15,18
"1445",25,3,4
"1446",28,9,6
"1447",40,6,18
"1448",33,11,10
"1449",26,-2,2
"1450",23,17,14
"1451",31,-1,1
"1452",23,-5,2
"1453",44,8,29
"1454",22,8,10
"1455",37,-4,8
"1456",27,5,5
"1457",31,14,2
"1458",31,4,5
"1459",23,4,2
"1460",25,6,3
"1461",31,4,7
"1462",43,20,27
"1463",41,15,12
"1464",39,13,25
"1465",38,11,22
"1466",36,10,7
"1467",27,8,6
"1468",31,12,14
"1469",31,9,9
"1470",30,15,18
"1471",35,21,19
"1472",37,6,13
"1473",32,9,10
"1474",31,12,18
"1475",28,-2,13
"1476",36,12,16
"1477",23,7,7
